account_id	invoice_period_from	invoice_period_until	invoice_days	invoice_amount
0010L00001jRZGVQA4	2020-01-25	2021-01-24	366	161
0010L00001jRtcYQAS	2020-12-12	2021-12-11	365	4015
0010L00001jRtcYQAS	2022-05-06	2023-05-05	365	2662
0010L00001jS1tOQAS	2020-04-19	2021-04-18	365	1670
0010L00001jS1tOQAS	2021-04-19	2022-04-18	365	3361
0010L00001jS1tOQAS	2022-04-19	2023-04-18	365	2134
0010L00001jS2T8QAK	2020-04-03	2021-04-02	365	2759
0010L00001jS34iQAC	2020-04-14	2021-04-13	365	1131
0010L00001jS34iQAC	2021-04-14	2022-04-13	365	10084
0010L00001jS34iQAC	2022-04-14	2023-04-13	365	6907
0010L00001jSNAyQAO	2020-05-19	2020-12-08	204	1551
0010L00001jSNAyQAO	2020-12-09	2021-12-08	365	17480
0010L00001jSNAyQAO	2022-02-22	2023-02-21	365	2369
0010L00001jSNAyQAO	2022-02-24	2023-02-21	363	1164
0010L00001jSpmeQAC	2020-12-23	2021-12-22	365	2249
0010L00001jTA7uQAG	2020-01-12	2021-01-11	366	907
0010L00001jTA7uQAG	2021-01-12	2022-01-11	365	2303
0010L00001jTA7uQAG	2022-01-12	2023-01-11	365	2532
0010L00001jTFC8QAO	2020-02-14	2021-02-13	366	1029
0010L00001jTFDLQA4	2020-01-31	2021-01-30	366	598
0010L00001jTFEJQA4	2020-01-11	2021-01-10	366	273
0010L00001jTgF2QAK	2020-01-26	2021-01-25	366	3766
0010L00001jTgF2QAK	2021-01-26	2022-01-25	365	1729
0010L00001jTgF2QAK	2022-01-26	2023-01-25	365	3250
0010L00001jTgF2QAK	2022-09-14	2023-01-25	134	150
0010L00001jTgF2QAK	2023-01-26	2024-01-25	365	3559
0010L00001kUjeiQAC	2020-01-07	2021-01-06	366	3923
0010L00001kUjeiQAC	2021-01-07	2022-01-06	365	2678
0010L00001kUjeiQAC	2022-01-21	2023-01-20	365	2605
0010L00001kUuggQAC	2020-02-28	2021-02-27	366	12069
0010L00001kUuggQAC	2021-02-28	2022-02-27	365	21293
0010L00001kUuggQAC	2022-02-28	2023-02-27	365	10351
0010L00001kV2cAQAS	2020-01-15	2021-01-14	366	3112
0010L00001kV2cAQAS	2020-11-10	2021-11-09	365	13486
0010L00001kV2cAQAS	2021-11-10	2022-11-09	365	4986
0010L00001kVGwBQAW	2020-01-16	2020-02-15	31	27
0010L00001kVGwBQAW	2020-02-16	2021-02-15	366	4435
0010L00001kVGwBQAW	2021-02-16	2022-02-15	365	3166
0010L00001kVGwBQAW	2022-02-16	2023-02-15	365	6894
0010L00001kVNmPQAW	2020-01-25	2021-01-24	366	1236
0010L00001kVNmPQAW	2021-01-24	2022-01-23	365	4048
0010L00001kVNmPQAW	2022-01-24	2023-01-23	365	1700
0010L00001kVNmPQAW	2023-01-24	2024-01-23	365	2079
0010L00001kVOh8QAG	2020-01-13	2021-01-12	366	726
0010L00001kVOh8QAG	2021-01-13	2022-01-12	365	771
0010L00001kVOh8QAG	2022-01-13	2023-01-12	365	352
0010L00001kVOjYQAW	2020-01-20	2021-01-19	366	459
0010L00001kVQ2ZQAW	2020-03-21	2021-03-20	365	4364
0010L00001kVQ2ZQAW	2021-03-21	2022-03-20	365	1980
0010L00001kVQ2ZQAW	2022-03-21	2023-03-20	365	2612
0010L00001kVfPiQAK	2020-02-09	2021-02-08	366	1853
0010L00001kVhBgQAK	2020-08-11	2021-08-10	365	5541
0010L00001kViWOQA0	2020-02-01	2021-01-31	366	2839
0010L00001kViWOQA0	2021-02-01	2022-01-31	365	2946
0010L00001kViWOQA0	2022-02-01	2023-01-31	365	2023
0010L00001kVnoTQAS	2020-03-01	2021-02-28	365	2213
0010L00001kVnoTQAS	2021-03-17	2022-03-16	365	1794
0010L00001kVvDWQA0	2020-02-06	2021-02-05	366	3049
0010L00001kVvDWQA0	2021-02-06	2022-02-05	365	2588
0010L00001kVvDWQA0	2022-02-06	2023-02-05	365	2513
0010L00001kW4VmQAK	2020-03-03	2021-03-02	365	4788
0010L00001kW4VmQAK	2021-03-03	2022-03-02	365	4623
0010L00001kW4VmQAK	2022-03-16	2023-03-15	365	5346
0010L00001kWHk8QAG	2020-02-14	2021-02-13	366	2530
0010L00001kWOOxQAO	2020-03-12	2021-03-11	365	3112
0010L00001kWOOxQAO	2021-03-12	2022-03-11	365	1170
0010L00001kWOrrQAG	2020-02-16	2021-02-15	366	1658
0010L00001kWPo0QAG	2020-09-17	2021-09-16	365	4783
0010L00001kWX9pQAG	2020-02-28	2021-02-27	366	684
0010L00001kWX9pQAG	2021-02-28	2022-02-27	365	888
0010L00001kWX9pQAG	2022-02-28	2023-02-27	365	1312
0010L00001kWYAzQAO	2020-02-22	2021-02-21	366	1271
0010L00001kWYAzQAO	2021-02-22	2022-02-21	365	3257
0010L00001kWYAzQAO	2022-02-22	2023-02-21	365	3010
0010L00001kWYhtQAG	2020-02-27	2021-02-26	366	458
0010L00001kWYhtQAG	2021-02-27	2022-02-26	365	717
0010L00001kWYhtQAG	2022-02-27	2023-02-26	365	863
0010L00001kWbNOQA0	2020-04-18	2021-04-17	365	2728
0010L00001kWbNOQA0	2021-04-18	2022-04-17	365	2545
0010L00001kWbNOQA0	2022-04-18	2023-04-17	365	2221
0010L00001kWgJnQAK	2020-02-17	2021-02-16	366	1187
0010L00001kWv64QAC	2020-02-23	2021-02-22	366	4712
0010L00001kWx1pQAC	2020-04-18	2021-04-17	365	4638
0010L00001kWx1pQAC	2021-04-18	2022-04-17	365	5065
0010L00001kWzy7QAC	2020-03-21	2021-03-20	365	6247
0010L00001kWzy7QAC	2021-03-21	2022-03-20	365	8804
0010L00001kWzy7QAC	2022-03-21	2023-03-20	365	4400
0010L00001kX1U7QAK	2020-05-13	2021-05-12	365	1252
0010L00001kX4NNQA0	2020-09-27	2021-09-26	365	2114
0010L00001kX4NNQA0	2021-09-27	2022-09-26	365	2939
0010L00001kX4NNQA0	2022-09-27	2023-09-26	365	2899
0010L00001kX9MfQAK	2020-03-13	2021-03-12	365	4054
0010L00001kX9MfQAK	2021-04-06	2022-04-05	365	4001
0010L00001kX9MfQAK	2022-04-06	2023-04-05	365	2965
0010L00001kX9fmQAC	2020-02-06	2021-02-05	366	742
0010L00001kX9fmQAC	2021-02-06	2022-02-05	365	889
0010L00001kX9fmQAC	2022-02-06	2023-02-05	365	1116
0010L00001kXBSsQAO	2020-03-19	2021-03-18	365	4416
0010L00001kXBSsQAO	2021-03-01	2021-03-18	18	36
0010L00001kXBSsQAO	2021-03-19	2022-03-18	365	10269
0010L00001kXBSsQAO	2022-03-19	2023-03-18	365	7740
0010L00001kXExPQAW	2020-04-03	2021-04-02	365	1916
0010L00001kXExPQAW	2021-04-03	2022-04-02	365	2023
0010L00001kXExPQAW	2022-04-03	2023-04-02	365	2360
0010L00001kXO0sQAG	2020-05-30	2021-05-29	365	2589
0010L00001kXO0sQAG	2021-05-30	2022-05-29	365	1578
0010L00001kXWM6QAO	2020-03-16	2021-03-15	365	859
0010L00001kXWM6QAO	2021-03-16	2022-03-15	365	1488
0010L00001kXWM6QAO	2022-03-16	2023-03-15	365	2501
0010L00001kXWTtQAO	2020-04-27	2021-04-26	365	3182
0010L00001kXWTtQAO	2021-04-27	2023-04-26	730	5558
0010L00001kXZv5QAG	2020-04-28	2021-04-27	365	9955
0010L00001kXZv5QAG	2021-04-28	2022-04-27	365	9875
0010L00001kXZv5QAG	2021-09-29	2022-04-27	211	717
0010L00001kXZv5QAG	2022-04-28	2023-04-27	365	8211
0010L00001kXcuJQAS	2020-03-19	2021-03-18	365	466
0010L00001kXd07QAC	2020-12-21	2021-12-20	365	5761
0010L00001kXd07QAC	2021-12-21	2022-12-20	365	5641
0010L00001kXd07QAC	2022-12-21	2024-12-20	731	14032
0010L00001kXd5vQAC	2020-03-20	2021-03-19	365	6135
0010L00001kXd5vQAC	2021-03-20	2022-03-19	365	3307
0010L00001kXiZLQA0	2020-04-03	2021-04-02	365	897
0010L00001kXja9QAC	2020-05-13	2021-05-12	365	962
0010L00001kXja9QAC	2020-10-26	2021-05-12	199	388
0010L00001kXja9QAC	2021-05-13	2022-05-12	365	1815
0010L00001kXjuiQAC	2020-04-18	2021-04-17	365	3576
0010L00001kXk3MQAS	2020-07-04	2021-07-03	365	1505
0010L00001kXntmQAC	2020-03-23	2021-03-22	365	2381
0010L00001kXntmQAC	2020-09-17	2021-09-16	365	1258
0010L00001kXntmQAC	2021-03-23	2022-03-22	365	1567
0010L00001kXoPaQAK	2020-03-29	2021-03-28	365	2243
0010L00001kXoPaQAK	2021-03-29	2022-03-28	365	2931
0010L00001kXryzQAC	2020-04-04	2021-04-03	365	3488
0010L00001kXryzQAC	2021-04-04	2022-04-03	365	2144
0010L00001kXyPLQA0	2020-03-13	2021-03-12	365	498
0010L00001kXyPLQA0	2021-05-24	2022-05-23	365	2445
0010L00001kXyPLQA0	2022-05-24	2023-05-23	365	1003
0010L00001kY0QSQA0	2020-10-11	2021-10-10	365	1283
0010L00001kY0QSQA0	2022-10-11	2023-10-10	365	723
0010L00001kY0z8QAC	2020-05-07	2021-05-06	365	2158
0010L00001kY0z8QAC	2021-05-07	2022-05-06	365	2226
0010L00001kY0z8QAC	2022-05-07	2023-05-06	365	2174
0010L00001kY1FuQAK	2020-03-28	2021-03-27	365	1805
0010L00001kY1FuQAK	2021-03-28	2022-03-27	365	2029
0010L00001kY1FuQAK	2022-03-28	2023-03-27	365	1968
0010L00001kY1lIQAS	2020-03-18	2021-03-17	365	145
0010L00001kY1lIQAS	2021-03-18	2022-03-17	365	160
0010L00001kY1lIQAS	2022-03-18	2023-03-17	365	201
0010L00001kY3nCQAS	2020-04-08	2021-04-07	365	2582
0010L00001kY3nCQAS	2021-04-08	2022-04-07	365	1920
0010L00001kY3nCQAS	2022-04-08	2023-04-07	365	1811
0010L00001kY9jjQAC	2020-04-06	2021-04-05	365	6878
0010L00001kY9jjQAC	2021-04-06	2022-04-05	365	4012
0010L00001kY9jjQAC	2022-04-06	2023-04-05	365	6445
0010L00001kYGDaQAO	2020-04-13	2021-04-12	365	3316
0010L00001kYGDaQAO	2021-04-13	2022-04-12	365	1917
0010L00001kYGDaQAO	2022-04-13	2023-04-12	365	1187
0010L00001kYaoYQAS	2020-08-03	2021-08-02	365	3367
0010L00001kYaoYQAS	2021-08-03	2022-08-02	365	1377
0010L00001kYaoYQAS	2022-08-03	2023-08-02	365	640
0010L00001kYkpPQAS	2020-05-11	2021-05-10	365	2193
0010L00001kYkpPQAS	2021-05-11	2022-05-10	365	2471
0010L00001kYkpPQAS	2022-05-11	2023-05-10	365	2015
0010L00001kYlEqQAK	2020-04-17	2021-04-16	365	3413
0010L00001kYlEqQAK	2021-04-17	2022-04-16	365	1609
0010L00001kYoCyQAK	2020-04-11	2021-04-10	365	844
0010L00001maxS5QAI	2021-06-18	2022-06-17	365	1227
0010L00001mbQQLQA2	2020-05-17	2021-05-16	365	5754
0010L00001mbQQLQA2	2021-05-17	2022-05-16	365	4349
0010L00001mbU5uQAE	2020-06-10	2021-06-09	365	3149
0010L00001mbU5uQAE	2021-06-10	2022-06-09	365	4591
0010L00001mbU5uQAE	2022-06-10	2023-06-09	365	2684
0010L00001mkQCqQAM	2022-10-27	2023-10-26	365	1174
0010L00001mkUcOQAU	2020-07-16	2021-07-15	365	2969
0010L00001mkjwJQAQ	2020-05-01	2021-04-30	365	1937
0010L00001mkjwJQAQ	2021-05-01	2022-04-30	365	1339
0010L00001mkjwJQAQ	2022-05-01	2023-04-30	365	3006
0010L00001mkpC7QAI	2020-08-18	2021-08-17	365	4046
0010L00001ml09dQAA	2020-05-09	2021-05-08	365	4103
0010L00001ml09dQAA	2020-06-25	2021-05-08	318	1556
0010L00001ml09dQAA	2021-05-09	2022-05-08	365	1389
0010L00001ml09dQAA	2022-05-09	2023-05-08	365	1134
0010L00001mlKuuQAE	2020-10-24	2021-10-23	365	3424
0010L00001mlKuuQAE	2022-06-30	2023-06-29	365	6753
0010L00001mmHmeQAE	2020-07-22	2021-07-21	365	5967
0010L00001mmLsIQAU	2020-05-17	2021-05-16	365	6917
0010L00001mmLsIQAU	2021-05-17	2022-05-16	365	13210
0010L00001mmLsIQAU	2022-05-17	2023-05-16	365	12767
0010L00001mmTwqQAE	2020-09-14	2021-09-13	365	24640
0010L00001mmTwqQAE	2021-02-03	2021-09-13	223	22534
0010L00001mmTwqQAE	2021-09-14	2022-09-13	365	85231
0010L00001mmTwqQAE	2022-09-14	2023-09-13	365	9212
0010L00001mmcXMQAY	2020-07-28	2021-07-27	365	1653
0010L00001mmgfXQAQ	2020-05-19	2021-05-18	365	3104
0010L00001mmgfXQAQ	2020-10-30	2021-05-18	201	268
0010L00001mmgfXQAQ	2021-05-19	2022-05-18	365	7975
0010L00001nCcnfQAC	2020-01-29	2021-01-28	366	6475
0010L00001nCfjoQAC	2020-05-31	2021-05-30	365	2545
0010L00001nCfjoQAC	2021-05-31	2022-05-30	365	1364
0010L00001nDXFuQAO	2020-06-06	2021-06-05	365	1301
0010L00001nDXk1QAG	2021-12-20	2022-12-19	365	6583
0010L00001nDovnQAC	2020-06-08	2021-06-07	365	3851
0010L00001nDovnQAC	2021-06-08	2022-06-07	365	5392
0010L00001nDovnQAC	2022-06-08	2023-06-07	365	4406
0010L00001nDuLbQAK	2020-09-08	2021-09-07	365	2282
0010L00001nDuLbQAK	2021-09-08	2022-09-07	365	1819
0010L00001nEJrIQAW	2020-06-12	2021-06-11	365	1611
0010L00001nEJrIQAW	2021-06-12	2022-06-11	365	2348
0010L00001nERQNQA4	2021-08-06	2022-08-05	365	1290
0010L00001nES7SQAW	2020-06-13	2021-06-12	365	1750
0010L00001nES7SQAW	2021-06-13	2022-06-12	365	1105
0010L00001nES7SQAW	2022-06-13	2023-06-12	365	1428
0010L00001nETFbQAO	2020-07-07	2021-07-06	365	1832
0010L00001nETFbQAO	2021-07-07	2022-07-06	365	926
0010L00001nEaEAQA0	2020-06-27	2021-06-26	365	3210
0010L00001nEaEAQA0	2021-06-27	2022-06-26	365	3137
0010L00001nEaEAQA0	2022-06-27	2023-06-26	365	7045
0010L00001nEmnlQAC	2020-06-16	2021-06-15	365	1386
0010L00001nEmnlQAC	2021-06-16	2022-06-15	365	1638
0010L00001nEmnlQAC	2022-06-16	2023-06-15	365	1618
0010L00001nEnXtQAK	2020-06-29	2021-06-28	365	1979
0010L00001nEnXtQAK	2021-06-29	2022-06-28	365	1684
0010L00001nEnXtQAK	2022-06-29	2023-06-28	365	1284
0010L00001nF1mHQAS	2020-06-21	2021-06-20	365	3490
0010L00001nF1mHQAS	2021-06-21	2022-06-20	365	1517
0010L00001nFeSmQAK	2020-07-05	2021-07-04	365	1904
0010L00001nG25cQAC	2020-07-05	2021-07-04	365	1293
0010L00001nGCLpQAO	2020-01-11	2021-01-10	366	1273
0010L00001nGIbnQAG	2020-08-12	2021-08-11	365	4198
0010L00001nGcnoQAC	2020-07-22	2021-07-21	365	666
0010L00001o9dShQAI	2020-07-12	2021-07-11	365	1253
0010L00001o9dShQAI	2021-07-12	2022-07-11	365	1130
0010L00001o9dShQAI	2022-07-12	2023-07-11	365	1700
0010L00001o9guxQAA	2020-07-17	2021-07-16	365	325
0010L00001o9oHUQAY	2020-07-18	2021-07-17	365	2269
0010L00001o9ulNQAQ	2020-07-21	2021-07-20	365	13135
0010L00001o9ulNQAQ	2021-07-21	2022-07-20	365	8102
0010L00001o9ulNQAQ	2022-07-21	2023-07-20	365	4839
0010L00001oAIT4QAO	2020-08-29	2021-08-28	365	2492
0010L00001oAJdbQAG	2020-07-28	2021-07-27	365	3260
0010L00001oAMBhQAO	2020-12-09	2021-12-08	365	850
0010L00001oAMBhQAO	2021-12-09	2022-12-08	365	1763
0010L00001oAq61QAC	2020-03-02	2020-07-20	141	82
0010L00001oAq61QAC	2020-07-15	2020-07-20	6	31
0010L00001oAq61QAC	2020-07-21	2021-07-20	365	4526
0010L00001oAq61QAC	2021-07-21	2022-07-20	365	4273
0010L00001oAq61QAC	2022-07-21	2023-07-20	365	2369
0010L00001oAvUUQA0	2020-07-25	2021-07-24	365	2349
0010L00001oB04wQAC	2020-11-13	2021-11-12	365	6423
0010L00001oB04wQAC	2021-11-13	2022-11-12	365	5472
0010L00001oB04wQAC	2022-11-13	2023-11-12	365	3136
0010L00001oB0paQAC	2020-07-26	2021-07-25	365	3993
0010L00001oB0paQAC	2021-07-26	2022-07-25	365	4790
0010L00001oB0paQAC	2022-07-26	2023-07-25	365	5209
0010L00001oBMjJQAW	2020-08-01	2021-07-31	365	1400
0010L00001oBMjJQAW	2021-08-01	2022-07-31	365	3464
0010L00001oBMjJQAW	2022-08-01	2023-07-31	365	1705
0010L00001oBTSYQA4	2020-08-04	2021-08-03	365	2162
0010L00001oBTSYQA4	2021-08-04	2022-08-03	365	2518
0010L00001oBVKQQA4	2020-11-21	2021-11-20	365	4826
0010L00001oCEKJQA4	2020-06-09	2021-06-08	365	1474
0010L00001oCEKJQA4	2021-05-12	2022-06-08	393	626
0010L00001oCEKJQA4	2021-06-09	2022-06-08	365	1176
0010L00001oCEKJQA4	2022-06-09	2023-06-08	365	1362
0010L00001obkuiQAA	2020-08-30	2021-08-29	365	2567
0010L00001obkuiQAA	2021-08-30	2022-08-29	365	1279
0010L00001obkuiQAA	2022-08-30	2023-08-29	365	2943
0010L00001oc45cQAA	2021-04-18	2022-03-18	335	37716
0010L00001ocLZYQA2	2020-05-16	2021-05-15	365	15270
0010L00001ocLZYQA2	2021-05-16	2022-05-15	365	10924
0010L00001ocLZYQA2	2022-05-16	2023-05-15	365	15408
0010L00001ocPtzQAE	2020-09-29	2021-09-28	365	1609
0010L00001ocPtzQAE	2021-09-29	2022-09-28	365	954
0010L00001ocTckQAE	2020-11-27	2021-11-26	365	5180
0010L00001ocTckQAE	2021-11-27	2022-11-26	365	2132
0010L00001ocTckQAE	2022-11-27	2025-11-26	1096	9218
0010L00001ocVjqQAE	2020-09-16	2021-09-15	365	620
0010L00001ocYe2QAE	2020-06-14	2021-06-13	365	1462
0010L00001ocYe2QAE	2021-06-14	2022-06-13	365	2265
0010L00001ocYe2QAE	2022-06-14	2023-06-13	365	1751
0010L00001ocZOWQA2	2020-09-13	2021-09-12	365	2644
0010L00001odpr6QAA	2020-06-30	2021-06-29	365	7166
0010L00001odpr6QAA	2021-06-30	2022-06-29	365	9759
0010L00001odpr6QAA	2022-06-30	2023-06-29	365	8455
0010L00001oeA3SQAU	2020-08-24	2021-08-23	365	1114
0010L00001oeA3SQAU	2021-08-24	2022-08-23	365	1784
0010L00001oePonQAE	2020-08-29	2021-08-28	365	2095
0010L00001oePonQAE	2021-08-29	2022-08-28	365	1372
0010L00001oePonQAE	2022-08-29	2023-08-28	365	1836
0010L00001pAImTQAW	2020-09-15	2021-09-14	365	3807
0010L00001pAImTQAW	2021-09-15	2022-09-14	365	6858
0010L00001pAImTQAW	2022-03-11	2022-09-14	188	2640
0010L00001pAImTQAW	2022-09-15	2023-09-14	365	12905
0010L00001pAjJfQAK	2020-09-19	2021-09-18	365	3444
0010L00001pBKUUQA4	2021-01-26	2022-01-25	365	1220
0010L00001pBKUUQA4	2022-01-26	2023-01-25	365	1493
0010L00001pBZwWQAW	2020-06-13	2021-06-12	365	2551
0010L00001pBZwWQAW	2021-06-13	2022-06-12	365	1646
0010L00001pBZwWQAW	2022-06-13	2023-06-12	365	2492
0010L00001pBeGhQAK	2020-09-20	2021-09-19	365	13390
0010L00001pBeGhQAK	2021-09-20	2022-09-19	365	17399
0010L00001pBeGhQAK	2022-09-20	2023-09-19	365	6802
0010L00001pBlpyQAC	2020-03-18	2020-10-15	212	1033
0010L00001pBlpyQAC	2020-10-16	2021-10-15	365	15226
0010L00001pBlpyQAC	2020-10-22	2021-10-15	359	355
0010L00001pBlpyQAC	2021-10-16	2022-10-15	365	15255
0010L00001pBlpyQAC	2022-10-16	2023-10-15	365	9237
0010L00001pCBBsQAO	2020-01-24	2021-01-23	366	2052
0010L00001pCBBsQAO	2021-01-24	2022-01-23	365	1525
0010L00001pCBBsQAO	2022-01-24	2023-01-23	365	2031
0010L00001pCHgzQAG	2023-01-09	2024-01-08	365	1990
0010L00001pCLJiQAO	2020-10-17	2021-10-16	365	2112
0010L00001pCNg5QAG	2020-10-25	2021-10-24	365	1405
0010L00001pCNg5QAG	2021-10-25	2022-10-24	365	1861
0010L00001pCNg5QAG	2022-10-25	2023-10-24	365	2129
0010L00001pCZgxQAG	2020-04-26	2021-04-25	365	2080
0010L00001pCaTGQA0	2020-01-29	2021-01-28	366	1123
0010L00001pChFlQAK	2020-12-27	2021-12-26	365	1675
0010L00001pCiqhQAC	2020-09-02	2021-09-01	365	3206
0010L00001pCoTvQAK	2020-03-18	2021-03-17	365	24434
0010L00001pCzE9QAK	2020-01-07	2021-01-06	366	4631
0010L00001pCzE9QAK	2021-01-07	2022-01-06	365	3969
0010L00001pCzE9QAK	2022-01-07	2023-01-06	365	2681
0010L00001pCzE9QAK	2022-06-07	2023-01-06	214	736
0010L00001pCzE9QAK	2023-01-07	2024-01-06	365	4014
0010L00001pDNNnQAO	2020-10-30	2021-10-29	365	23008
0010L00001pDNNnQAO	2021-10-30	2022-10-29	365	8910
0010L00001pDQ0IQAW	2020-11-16	2021-11-15	365	5109
0010L00001pDQ0IQAW	2021-11-16	2022-11-15	365	3677
0010L00001pDQ0IQAW	2022-11-16	2023-11-15	365	4342
0010L00001pDSwhQAG	2020-10-30	2021-10-29	365	2162
0010L00001pDSwhQAG	2021-10-30	2022-10-29	365	1994
0010L00001pDad0QAC	2020-01-01	2020-12-31	366	2028
0010L00001pDf2oQAC	2020-11-19	2021-11-18	365	1137
0010L00001pDrVUQA0	2020-11-08	2021-11-07	365	3512
0010L00001pDrVUQA0	2021-11-08	2022-11-07	365	4896
0010L00001qFmBVQA0	2020-01-30	2021-01-29	366	966
0010L00001qFnvBQAS	2020-11-20	2021-11-19	365	2647
0010L00001qFnvBQAS	2021-03-24	2021-11-19	241	7401
0010L00001qFnvBQAS	2021-11-20	2022-11-19	365	26147
0010L00001qFq0mQAC	2020-03-18	2021-03-17	365	4464
0010L00001qFq0mQAC	2021-03-18	2022-03-17	365	2300
0010L00001qFq0mQAC	2022-03-18	2023-03-17	365	4535
0010L00001qFuD6QAK	2020-12-07	2021-12-06	365	8880
0010L00001qFuD6QAK	2021-12-07	2022-12-06	365	13821
0010L00001qFuD6QAK	2022-12-07	2023-12-06	365	11646
0010L00001qFyb1QAC	2020-11-17	2021-11-16	365	2366
0010L00001qFzRvQAK	2020-12-15	2021-12-14	365	1664
0010L00001qFzRvQAK	2021-12-15	2022-12-14	365	2905
0010L00001qFzRvQAK	2022-12-15	2023-12-14	365	3539
0010L00001qG9zIQAS	2020-11-22	2021-11-21	365	3109
0010L00001qGCqBQAW	2020-01-08	2021-01-07	366	803
0010L00001qGCqBQAW	2021-01-08	2022-01-07	365	1343
0010L00001qGCqBQAW	2022-01-08	2023-01-07	365	1060
0010L00001qGGERQA4	2020-01-23	2021-01-22	366	843
0010L00001qGGERQA4	2021-01-23	2022-01-22	365	1012
0010L00001qGGERQA4	2022-01-23	2023-01-22	365	893
0010L00001qGW5HQAW	2020-12-29	2021-12-28	365	11969
0010L00001qGW5HQAW	2021-12-29	2022-12-28	365	11871
0010L00001qGW5HQAW	2022-12-29	2023-12-28	365	4347
0010L00001qGXYQQA4	2020-11-29	2021-11-28	365	1948
0010L00001qGmohQAC	2020-02-23	2021-02-22	366	14160
0010L00001qGmohQAC	2021-02-23	2022-02-22	365	11719
0010L00001qGmohQAC	2022-02-23	2023-02-22	365	13739
0010L00001qGmohQAC	2022-09-13	2023-02-22	163	2118
0010L00001qGmohQAC	2022-11-09	2023-02-22	106	470
0010L00001qGmohQAC	2023-02-23	2024-02-22	365	31171
0010L00001qGygxQAC	2020-01-16	2020-12-03	323	145
0010L00001qGygxQAC	2020-12-04	2021-12-03	365	3707
0010L00001qGypGQAS	2020-02-13	2021-02-12	366	6658
0010L00001qGypGQAS	2021-02-13	2022-02-12	365	10498
0010L00001qIt6dQAC	2022-06-14	2023-06-13	365	20050
0010L00001qJ2y0QAC	2020-09-08	2021-09-07	365	1164
0010L00001qJ2y0QAC	2021-09-08	2022-09-07	365	1432
0010L00001qJ2y0QAC	2022-09-08	2023-09-07	365	945
0010L00001qJ90wQAC	2020-06-26	2021-06-25	365	2327
0010L00001qJ90wQAC	2021-06-26	2022-06-25	365	1493
0010L00001qJ90wQAC	2022-06-26	2024-06-25	731	2248
0010L00001qJCM3QAO	2020-06-29	2021-06-28	365	3230
0010L00001qJCM3QAO	2021-06-29	2022-06-28	365	2542
0010L00001qJCM3QAO	2022-06-29	2023-06-28	365	2653
0010L00001qvgPkQAI	2020-08-01	2021-07-31	365	2486
0010L00001qw4rxQAA	2020-01-03	2021-01-02	366	4378
0010L00001qxTrKQAU	2020-01-18	2021-01-17	366	1288
